#time;x;y;z
#time;x;y;z
2020-11-23 10:23:44.536095;0.252;1.517;166.81872611464962
#time;x;y;z
2020-11-23 10:23:44.638403;0.243;1.519;169.80076433121008
#time;x;y;z
2020-11-23 10:23:44.736616;0.232;1.521;175.41401273885344
#time;x;y;z
2020-11-23 10:23:44.840767;0.232;1.521;175.41401273885344
#time;x;y;z
2020-11-23 10:23:44.935846;0.233;1.521;178.22063694267513
#time;x;y;z
2020-11-23 10:23:45.038182;0.233;1.521;-178.9799220676197
#time;x;y;z
2020-11-23 10:23:45.137588;0.232;1.521;-175.8224698383203
#time;x;y;z
2020-11-23 10:23:45.238468;0.233;1.521;-172.92813862812923
#time;x;y;z
2020-11-23 10:23:45.335996;0.233;1.521;-170.12151442430758
#time;x;y;z
2020-11-23 10:23:45.438601;0.232;1.521;-166.96406219500824
#time;x;y;z
2020-11-23 10:23:45.536368;0.233;1.521;-164.33285200392538
#time;x;y;z
2020-11-23 10:23:45.638627;0.233;1.521;-161.26310678099546
#time;x;y;z
2020-11-23 10:23:45.737287;0.233;1.521;-158.28106856443497
#time;x;y;z
2020-11-23 10:23:45.840168;0.233;1.521;-155.4744443606133
#time;x;y;z
2020-11-23 10:23:45.936478;0.233;1.521;-152.40469913768334
#time;x;y;z
2020-11-23 10:23:46.038983;0.233;1.521;-149.68578194023112
#time;x;y;z
2020-11-23 10:23:46.136443;0.233;1.521;-146.87915773640947
#time;x;y;z
2020-11-23 10:23:46.238729;0.233;1.521;-143.89711951984896
#time;x;y;z
2020-11-23 10:23:46.336440;0.233;1.521;-141.0027883096579
#time;x;y;z
2020-11-23 10:23:46.439068;0.233;1.521;-138.0207500930974
#time;x;y;z
2020-11-23 10:23:46.536446;0.233;1.521;-135.1264188829063
#time;x;y;z
2020-11-23 10:23:46.638794;0.233;1.521;-132.31979467908465
#time;x;y;z
2020-11-23 10:23:46.736901;0.233;1.521;-129.513170475263
#time;x;y;z
2020-11-23 10:23:46.838921;0.233;1.521;-126.6188392650719
#time;x;y;z
2020-11-23 10:23:46.936660;0.233;1.52;-123.72450805488083
#time;x;y;z
2020-11-23 10:23:47.039321;0.231;1.518;-121.35641888290633
#time;x;y;z
2020-11-23 10:23:47.136757;0.227;1.511;-120.74246983832033
#time;x;y;z
2020-11-23 10:23:47.239202;0.222;1.503;-120.83017684468979
#time;x;y;z
2020-11-23 10:23:47.336928;0.216;1.492;-120.65476283195093
#time;x;y;z
2020-11-23 10:23:47.439486;0.208;1.478;-120.65476283195093
#time;x;y;z
2020-11-23 10:23:47.537006;0.199;1.462;-120.65476283195093
#time;x;y;z
2020-11-23 10:23:47.639459;0.188;1.444;-120.65476283195093
#time;x;y;z
2020-11-23 10:23:47.737198;0.177;1.424;-120.5670558255815
#time;x;y;z
2020-11-23 10:23:47.839625;0.166;1.405;-120.39164181284265
#time;x;y;z
2020-11-23 10:23:47.939138;0.155;1.386;-120.65476283195093
#time;x;y;z
2020-11-23 10:23:48.041456;0.144;1.367;-120.5670558255815
#time;x;y;z
2020-11-23 10:23:48.137303;0.133;1.348;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:48.239909;0.122;1.329;-120.5670558255815
#time;x;y;z
2020-11-23 10:23:48.337382;0.111;1.309;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:48.441674;0.1;1.29;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:48.538215;0.089;1.271;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:48.639664;0.078;1.252;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:48.739677;0.067;1.233;-120.5670558255815
#time;x;y;z
2020-11-23 10:23:48.840012;0.056;1.214;-120.5670558255815
#time;x;y;z
2020-11-23 10:23:48.937509;0.045;1.194;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:49.039778;0.034;1.175;-120.5670558255815
#time;x;y;z
2020-11-23 10:23:49.137498;0.023;1.156;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:49.240028;0.012;1.137;-120.5670558255815
#time;x;y;z
2020-11-23 10:23:49.337833;0.001;1.118;-120.5670558255815
#time;x;y;z
2020-11-23 10:23:49.439981;-0.01;1.099;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:49.537983;-0.021;1.079;-120.5670558255815
#time;x;y;z
2020-11-23 10:23:49.640210;-0.032;1.06;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:49.737815;-0.043;1.041;-120.47934881921206
#time;x;y;z
2020-11-23 10:23:49.840860;-0.054;1.022;-120.39164181284265
#time;x;y;z
2020-11-23 10:23:49.938455;-0.065;1.003;-120.39164181284265
#time;x;y;z
2020-11-23 10:23:50.041831;-0.075;0.984;-120.39164181284265
#time;x;y;z
2020-11-23 10:23:50.138317;-0.087;0.964;-120.39164181284265
#time;x;y;z
2020-11-23 10:23:50.240558;-0.097;0.945;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:50.339555;-0.108;0.926;-120.39164181284265
#time;x;y;z
2020-11-23 10:23:50.441943;-0.119;0.907;-120.39164181284265
#time;x;y;z
2020-11-23 10:23:50.538205;-0.141;0.869;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:50.641088;-0.141;0.869;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:50.738486;-0.152;0.849;-120.2162278001038
#time;x;y;z
2020-11-23 10:23:50.841092;-0.163;0.83;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:50.938295;-0.174;0.811;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:51.040958;-0.185;0.792;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:51.138805;-0.196;0.773;-120.2162278001038
#time;x;y;z
2020-11-23 10:23:51.241095;-0.206;0.753;-120.2162278001038
#time;x;y;z
2020-11-23 10:23:51.338728;-0.217;0.734;-120.2162278001038
#time;x;y;z
2020-11-23 10:23:51.440959;-0.228;0.715;-120.2162278001038
#time;x;y;z
2020-11-23 10:23:51.539059;-0.239;0.696;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:51.640841;-0.25;0.676;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:51.738920;-0.261;0.657;-120.30393480647322
#time;x;y;z
2020-11-23 10:23:51.841409;-0.272;0.638;-120.30393480647322
#time;x;y;z
