#time;posL;posR;velL;velR
2020-11-23 10:23:39.533759;-7165.0;-12443.0;222.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:39.636332;-4324.0;-9595.0;222.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:39.733807;-1460.0;-6771.0;215.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:39.836300;1361.0;-3930.0;216.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:39.934326;4127.0;-1173.0;228.0;224.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.036183;7048.0;1746.0;219.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.135816;9824.0;4526.0;215.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.238308;12625.0;7337.0;227.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.334703;15507.0;10183.0;221.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.439111;18364.0;13052.0;217.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.533990;21114.0;15858.0;219.0;213.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.636447;23926.0;18635.0;228.0;227.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.734389;26819.0;21508.0;221.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.836504;29673.0;24377.0;212.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:40.934697;32405.0;27167.0;221.0;215.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.036774;-30260.0;29953.0;220.0;224.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.134225;-27446.0;-32738.0;220.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.236787;-24609.0;-29868.0;222.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.334721;-21803.0;-27121.0;222.0;224.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.437088;-18925.0;-24227.0;219.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.534549;-16112.0;-21437.0;214.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.636782;-13311.0;-18599.0;222.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.734512;-10511.0;-15782.0;223.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.837158;-7632.0;-12914.0;220.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:41.934659;-4843.0;-10145.0;221.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:42.037244;-1971.0;-7279.0;218.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:42.134759;821.0;-4499.0;218.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:42.237196;3659.0;-1637.0;224.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:42.334824;6495.0;1181.0;219.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:42.437592;9322.0;4044.0;220.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:42.535212;12113.0;6800.0;219.0;225.0
#time;posL;posR;velL;velR
2020-11-23 10:23:42.637624;14984.0;9698.0;221.0;220.0
