#time;posL;posR;velL;velR
#time;posL;posR;velL;velR
2020-11-23 10:31:42.237675;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:42.332877;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:42.435214;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:42.533188;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:42.635786;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:42.733466;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:42.835392;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:42.933944;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.035565;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.133496;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.236070;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.333671;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.436077;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.533402;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.635931;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.734043;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.836229;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:43.934053;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.036923;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.133705;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.236218;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.333987;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.436503;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.533930;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.636171;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.733980;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.836645;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:44.934386;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.036715;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.134194;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.236920;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.334479;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.436551;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.534502;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.636907;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.734899;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.837192;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:45.934789;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.037039;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.134531;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.237222;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.336035;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.437064;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.534923;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.637512;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.735049;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.837164;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:46.935383;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.037264;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.135290;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.237561;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.335227;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.437777;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.535610;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.637786;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.736184;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.838345;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:47.935568;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.037982;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.135631;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.238473;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.335490;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.437793;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.535726;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.638006;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.737780;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.839203;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:48.935985;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:49.038482;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:49.136138;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:49.238234;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:49.336102;-11081.0;-13022.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:31:49.438687;-11081.0;-13022.0;0.0;0.0
