#time;x;y;z
2020-11-23 10:31:47.037264;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:47.135290;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:47.237561;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:47.335227;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:47.437777;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:47.535610;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:47.637786;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:47.736184;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:47.838345;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:47.935568;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.037982;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.135631;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.238473;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.335490;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.437793;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.535726;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.638006;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.737780;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.839203;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:48.935985;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:49.038482;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:49.136138;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:49.238234;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:49.336102;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:49.438687;0.879;0.17;-15.143234169530558
